,Correct Answer,Rombos-LLM-V2.5-Qwen-32b-scores,Rombos-LLM-V2.5-Qwen-32b-scores (Revised % Concordant),oxyge1-33B-scores,oxyge1-33B-scores (Revised % Concordant),Lamarck-14B-v0.6,Lamarck-14B-v0.6 (Revised % Concordant),ultiima-32B-scores,ultiima-32B-scores (Revised % Concordant),TheBeagle-v2beta-32B-MGS-scores,TheBeagle-v2beta-32B-MGS-scores (Revised % Concordant),Qwentile2.5-32B-Instruct-scores,Qwentile2.5-32B-Instruct-scores (Revised % Concordant)
0,A,E,0.75,B,0.75,B,1.0,B,0.5,E,0.75,C,0.5
1,B,B,0.5,B,0.5,B,1.0,B,0.75,D,1.0,C,0.75
2,A,A,0.75,B,0.75,E,1.0,A,1.0,B,0.75,D,0.75
3,D,D,1.0,B,0.5,A,0.5,C,1.0,A,1.0,B,0.75
4,E,C,1.0,E,0.5,A,1.0,E,1.0,E,1.0,C,1.0
5,C,B,0.75,E,0.25,E,1.0,C,0.75,E,1.0,B,0.5
6,A,C,0.5,E,0.75,D,0.75,E,0.5,E,0.75,A,1.0
7,A,C,0.5,E,1.0,B,1.0,A,0.75,B,1.0,D,1.0
8,C,C,1.0,D,0.75,C,0.5,C,1.0,E,1.0,B,0.75
9,B,E,0.5,G,1.0,D,1.0,B,0.5,E,0.75,C,1.0
10,F,E,0.75,F,1.0,F,0.75,F,0.75,B,0.5,D,0.5
11,C,C,1.0,E,1.0,D,1.0,C,0.75,B,1.0,A,1.0
12,B,A,1.0,E,0.25,C,1.0,E,0.75,C,0.75,A,0.75
13,B,D,0.5,E,1.0,A,1.0,E,0.5,E,1.0,D,0.5
14,E,B,0.5,D,1.0,E,0.75,E,1.0,E,0.75,A,1.0
15,D,B,0.75,E,1.0,B,0.75,E,0.5,E,0.5,B,0.25
16,D,D,1.0,F,0.5,F,0.75,D,1.0,D,1.0,C,0.5
17,A,D,1.0,C,1.0,E,0.75,E,1.0,E,0.75,D,0.75
18,D,B,1.0,C,1.0,D,0.5,E,0.5,A,0.5,E,0.5
19,B,B,0.5,E,0.75,A,0.5,B,0.5,E,1.0,B,0.5
20,B,D,0.75,E,1.0,A,0.5,B,1.0,E,1.0,D,0.75
21,D,A,1.0,E,0.5,E,1.0,E,0.75,A,0.75,D,0.75
22,C,A,0.75,F,1.0,F,0.75,C,1.0,C,0.5,E,1.0
23,B,C,1.0,A,1.0,B,0.75,B,1.0,B,1.0,A,1.0
24,D,C,1.0,E,0.5,A,1.0,B,0.75,C,0.75,B,0.75
25,D,C,1.0,E,0.75,D,1.0,D,1.0,E,0.75,A,0.5
26,E,D,0.5,E,0.75,C,1.0,E,0.75,A,0.5,B,0.75
27,D,A,0.5,E,1.0,E,1.0,D,0.5,C,0.75,A,0.5
28,A,D,1.0,E,1.0,A,1.0,A,0.75,B,0.5,D,0.5
29,C,A,0.75,E,1.0,E,0.75,E,0.5,E,0.5,B,1.0
30,D,D,0.75,E,0.75,D,0.5,E,0.5,E,1.0,A,1.0
31,E,A,0.75,E,0.5,E,1.0,E,1.0,B,1.0,A,0.5
32,B,B,0.75,F,1.0,F,1.0,F,0.5,F,0.5,D,0.75
33,B,D,0.5,E,1.0,A,1.0,E,0.5,E,1.0,A,0.75
34,A,D,0.5,D,0.5,E,0.5,E,1.0,A,1.0,A,0.5
35,C,C,1.0,E,0.5,D,0.75,A,1.0,E,0.5,D,1.0
36,C,A,0.5,E,1.0,D,0.5,E,0.75,E,0.75,D,0.75
37,B,B,0.5,E,1.0,B,0.5,B,0.5,E,0.75,C,0.75
38,A,A,1.0,E,1.0,C,1.0,E,1.0,E,1.0,A,0.75
39,A,D,1.0,E,0.75,C,1.0,E,0.75,B,1.0,D,0.5
40,B,C,0.5,E,1.0,D,1.0,D,0.5,D,0.75,D,0.5
41,D,A,1.0,D,0.75,D,0.75,C,1.0,D,1.0,B,0.75
42,B,C,0.5,E,0.5,D,0.75,E,1.0,E,1.0,A,0.75
43,B,D,1.0,E,0.75,A,0.75,A,0.75,D,0.5,E,1.0
44,E,A,1.0,E,1.0,D,1.0,B,1.0,E,0.75,A,1.0
45,D,E,0.75,B,0.5,E,0.25,D,1.0,D,0.5,C,1.0
46,C,D,1.0,E,0.5,E,0.5,D,1.0,C,1.0,D,1.0
47,E,C,0.5,E,0.5,A,1.0,E,0.75,E,0.5,C,1.0
48,E,A,0.75,D,0.75,D,1.0,E,1.0,E,0.75,D,0.5
49,D,B,1.0,B,1.0,D,0.5,D,1.0,D,0.5,B,0.5
50,A,C,1.0,A,0.5,A,0.5,D,0.5,A,0.75,B,0.75
51,B,A,1.0,E,1.0,B,1.0,B,0.5,B,0.5,C,0.75
52,C,C,0.75,B,0.75,E,1.0,E,1.0,A,0.75,C,0.75
53,C,C,1.0,E,0.75,B,1.0,A,1.0,E,1.0,C,1.0
54,C,C,0.75,E,0.5,E,0.75,C,0.75,C,1.0,B,0.5
55,A,C,1.0,E,0.5,A,0.5,B,0.75,A,1.0,D,0.75
56,A,B,1.0,E,0.5,E,0.25,C,1.0,C,1.0,E,0.5
57,A,B,1.0,D,0.75,D,1.0,C,0.75,E,1.0,E,0.75
58,E,C,0.25,E,1.0,D,0.5,C,0.75,C,0.5,D,0.5
59,C,C,1.0,E,0.75,E,1.0,A,1.0,E,0.75,C,1.0
60,D,A,0.75,C,1.0,D,1.0,E,1.0,E,1.0,C,0.75
61,C,B,1.0,E,0.75,F,0.5,F,0.5,F,0.5,A,1.0
62,E,D,1.0,A,0.75,E,0.75,E,1.0,E,0.75,D,1.0
63,D,A,0.5,E,0.75,E,1.0,D,0.75,B,0.5,B,1.0
64,D,B,1.0,E,1.0,E,1.0,C,0.75,E,0.5,A,0.5
65,B,C,0.75,E,0.5,B,0.5,A,0.5,E,1.0,C,1.0
66,C,A,0.75,E,0.75,A,0.5,E,0.5,A,1.0,B,1.0
67,C,C,0.5,D,0.5,C,0.75,G,0.5,B,0.5,G,0.75
68,A,C,1.0,A,0.75,E,0.5,E,0.75,E,1.0,A,1.0
69,D,B,0.75,E,0.5,E,1.0,E,0.75,E,0.75,B,1.0
70,C,D,0.5,E,0.75,D,0.75,C,0.5,C,1.0,B,0.5
71,D,C,0.5,H,1.0,D,0.75,D,0.75,D,0.5,E,0.75
72,C,A,1.0,E,0.75,E,0.5,D,0.75,E,0.75,A,1.0
73,D,C,0.5,E,0.75,A,1.0,B,0.75,E,0.75,C,0.75
74,E,B,1.0,E,0.75,E,0.5,E,0.75,A,0.75,B,1.0
75,B,A,0.5,D,1.0,D,0.75,D,0.75,B,0.5,C,0.5
76,B,C,0.5,G,0.5,G,1.0,G,0.75,G,0.75,E,0.5
77,E,C,0.75,E,0.5,E,1.0,E,0.75,E,0.75,C,1.0
78,E,D,1.0,E,1.0,B,0.5,E,0.5,E,1.0,B,1.0
79,D,C,0.75,E,1.0,E,0.75,E,1.0,E,0.75,C,0.5
80,E,A,0.5,C,1.0,E,1.0,E,0.75,A,0.75,A,1.0
81,A,B,1.0,E,0.75,E,0.75,E,0.75,E,0.75,D,0.75
82,E,A,0.75,F,0.75,F,0.5,F,0.5,E,0.75,A,0.75
83,C,D,1.0,D,0.5,D,1.0,E,1.0,E,0.75,D,0.75
84,E,E,0.5,F,1.0,F,0.5,B,1.0,F,0.75,E,0.5
85,B,B,0.5,E,1.0,D,1.0,E,1.0,A,0.75,C,1.0
86,D,D,1.0,E,1.0,D,1.0,A,1.0,B,0.75,A,1.0
87,D,B,0.75,E,0.75,E,1.0,D,1.0,D,0.75,B,0.5
88,E,C,1.0,E,1.0,B,1.0,E,0.75,B,0.5,D,0.75
89,B,C,0.5,D,1.0,B,0.5,B,0.75,A,0.75,C,1.0
90,F,E,1.0,F,0.75,A,0.5,F,0.75,F,0.5,D,0.5
91,A,A,0.5,E,1.0,E,1.0,B,0.5,E,1.0,D,0.5
92,E,C,1.0,A,0.5,E,0.5,E,0.75,E,1.0,C,1.0
93,A,A,0.75,E,0.5,E,0.75,E,0.75,E,1.0,D,1.0
94,D,A,0.75,E,1.0,E,0.75,E,1.0,E,0.5,D,0.75
