,Correct Answer,Phi-3-medium-4k-instruct,Phi-3-medium-4k-instruct (Revised % Concordant),Chocolatine-14B-Instruct-DPO-v1.2,Chocolatine-14B-Instruct-DPO-v1.2 (Revised % Concordant),Qwen2.5-32B,Qwen2.5-32B (Revised % Concordant),lambda-qwen2.5-32b-dpo-test,lambda-qwen2.5-32b-dpo-test (Revised % Concordant),franqwenstein-35b,franqwenstein-35b (Revised % Concordant),Yi-1.5-34B-Chat,Yi-1.5-34B-Chat (Revised % Concordant),qwen-carpmuscle-v0.1,qwen-carpmuscle-v0.1 (Revised % Concordant)
0,A,D,0.2,D,0.1,E,0.2,A,0.3,A,0.3,C,0.3,B,0.2
1,B,A,0.2,D,0.2,C,0.2,B,0.1,D,0.1,A,0.3,D,0.2
2,A,E,0.1,E,0.3,B,0.2,D,0.2,A,0.1,C,0.3,A,0.2
3,D,D,0.2,C,0.3,B,0.3,A,0.3,D,0.2,D,0.3,C,0.2
4,E,C,0.2,C,0.3,A,0.2,A,0.2,E,0.1,D,0.2,B,0.2
5,C,E,0.4,B,0.3,D,0.2,C,0.2,A,0.2,D,0.2,D,0.1
6,A,E,0.3,C,0.3,A,0.1,A,0.3,E,0.1,C,0.3,B,0.1
7,A,C,0.2,B,0.3,C,0.2,D,0.2,E,0.2,E,0.2,C,0.1
8,C,C,0.4,C,0.2,C,0.1,C,0.3,E,0.1,B,0.3,B,0.3
9,B,F,0.2,B,0.2,A,0.3,E,0.4,G,0.1,F,0.5,F,0.1
10,F,A,0.3,F,0.2,A,0.2,F,0.2,F,0.2,C,0.4,E,0.2
11,C,D,0.2,E,0.1,C,0.2,C,0.3,D,0.3,A,0.3,D,0.2
12,B,D,0.3,C,0.3,A,0.1,C,0.2,B,0.1,D,0.3,A,0.1
13,B,E,0.1,A,0.3,A,0.2,C,0.3,E,0.1,C,0.5,B,0.3
14,E,A,0.3,C,0.2,C,0.1,E,0.1,E,0.1,A,0.2,E,0.1
15,D,D,0.2,D,0.2,B,0.3,C,0.1,E,0.1,C,0.3,A,0.1
16,D,E,0.4,E,0.2,E,0.2,D,0.2,E,0.1,C,0.2,A,0.2
17,A,E,0.3,D,0.3,C,0.2,A,0.1,E,0.1,D,0.2,D,0.3
18,D,D,0.3,B,0.1,A,0.1,D,0.2,C,0.1,A,0.3,B,0.3
19,B,C,0.1,D,0.3,A,0.3,B,0.3,E,0.1,C,0.4,C,0.1
20,B,E,0.4,B,0.3,C,0.4,B,0.3,E,0.2,D,0.3,D,0.3
21,D,C,0.3,E,0.4,C,0.3,E,0.3,E,0.1,C,0.4,C,0.3
22,C,B,0.3,E,0.2,E,0.1,C,0.3,E,0.1,F,0.2,E,0.1
23,B,E,0.2,B,0.1,B,0.2,D,0.2,A,0.1,E,0.2,B,0.1
24,D,B,0.3,C,0.4,A,0.2,C,0.3,E,0.2,A,0.2,A,0.1
25,D,D,0.2,B,0.3,A,0.2,A,0.1,E,0.1,B,0.2,E,0.1
26,E,B,0.4,C,0.1,C,0.1,C,0.3,E,0.1,C,0.3,A,0.2
27,D,D,0.3,B,0.3,D,0.2,D,0.3,C,0.2,E,0.3,C,0.2
28,A,D,0.2,A,0.1,C,0.2,B,0.3,E,0.1,B,0.2,B,0.2
29,C,A,0.1,E,0.2,A,0.1,E,0.4,C,0.1,B,0.2,E,0.3
30,D,B,0.3,A,0.3,A,0.1,D,0.1,D,0.1,A,0.4,D,0.1
31,E,A,0.3,C,0.2,B,0.1,C,0.2,E,0.1,C,0.5,D,0.1
32,B,F,0.4,E,0.2,E,0.2,A,0.2,F,0.1,D,0.3,B,0.3
33,B,E,0.2,C,0.2,A,0.2,C,0.5,E,0.3,A,0.4,B,0.3
34,A,A,0.4,C,0.2,D,0.1,A,0.2,A,0.1,A,0.2,D,0.1
35,C,C,0.4,C,0.2,C,0.1,C,0.1,C,0.1,D,0.2,A,0.1
36,C,A,0.4,D,0.3,B,0.3,C,0.1,C,0.2,A,0.3,C,0.1
37,B,A,0.1,A,0.3,D,0.2,B,0.1,E,0.1,C,0.1,C,0.2
38,A,E,0.2,D,0.3,A,0.1,D,0.2,E,0.1,B,0.2,C,0.1
39,A,E,0.3,A,0.2,C,0.2,C,0.2,E,0.1,D,0.4,B,0.1
40,B,C,0.3,D,0.2,B,0.2,B,0.2,D,0.1,E,0.2,E,0.1
41,D,B,0.4,A,0.1,C,0.1,C,0.1,D,0.1,A,0.3,A,0.1
42,B,D,0.3,C,0.3,B,0.2,C,0.1,D,0.1,A,0.3,A,0.2
43,B,A,0.2,C,0.4,B,0.1,E,0.1,C,0.1,E,0.3,E,0.3
44,E,A,0.3,D,0.3,A,0.2,A,0.2,D,0.1,A,0.2,A,0.2
45,D,E,0.1,A,0.2,E,0.1,E,0.1,B,0.3,E,0.1,E,0.2
46,C,D,0.2,C,0.3,D,0.1,B,0.4,E,0.1,C,0.3,A,0.2
47,E,B,0.3,E,0.3,A,0.2,E,0.1,A,0.1,E,0.2,E,0.1
48,E,C,0.3,B,0.2,D,0.2,E,0.2,C,0.1,C,0.3,E,0.3
49,D,B,0.3,A,0.3,A,0.2,D,0.2,B,0.1,C,0.4,A,0.2
50,A,B,0.2,D,0.2,A,0.3,A,0.2,B,0.4,B,0.2,A,0.2
51,B,B,0.4,D,0.4,A,0.1,B,0.5,A,0.1,E,0.3,D,0.1
52,C,C,0.2,A,0.3,B,0.1,E,0.1,E,0.1,D,0.3,D,0.2
53,C,D,0.2,E,0.2,C,0.2,D,0.2,E,0.1,B,0.4,B,0.1
54,C,C,0.2,E,0.2,C,0.2,C,0.2,D,0.1,C,0.3,A,0.1
55,A,A,0.2,D,0.2,E,0.1,E,0.1,E,0.1,E,0.1,B,0.1
56,A,A,0.2,B,0.2,C,0.3,D,0.2,E,0.2,E,0.1,D,0.1
57,A,E,0.3,B,0.4,D,0.2,C,0.3,E,0.3,D,0.3,D,0.1
58,E,E,0.3,D,0.4,D,0.4,E,0.1,B,0.4,D,0.4,C,0.2
59,C,A,0.3,C,0.1,B,0.1,A,0.3,C,0.1,D,0.1,D,0.1
60,D,E,0.3,B,0.3,A,0.1,D,0.1,D,0.1,D,0.4,C,0.1
61,C,C,0.2,E,0.1,C,0.2,F,0.2,F,0.1,A,0.4,D,0.3
62,E,E,0.3,A,0.3,D,0.1,B,0.3,E,0.1,D,0.3,B,0.1
63,D,A,0.3,B,0.2,B,0.4,D,0.3,C,0.1,E,0.2,A,0.1
64,D,B,0.2,C,0.2,D,0.1,D,0.3,E,0.2,C,0.3,D,0.2
65,B,D,0.3,B,0.3,C,0.2,C,0.1,A,0.1,C,0.4,C,0.1
66,C,B,0.1,A,0.3,C,0.1,A,0.3,E,0.1,A,0.2,C,0.1
67,C,C,0.4,E,0.2,C,0.1,G,0.2,G,0.1,F,0.3,D,0.2
68,A,B,0.2,D,0.1,B,0.2,D,0.2,E,0.1,C,0.1,B,0.2
69,D,E,0.2,D,0.2,A,0.1,D,0.2,E,0.1,A,0.5,E,0.3
70,C,E,0.2,C,0.1,B,0.2,D,0.4,D,0.1,A,0.2,A,0.2
71,D,H,0.2,E,0.3,F,0.3,G,0.2,D,0.1,E,0.2,B,0.1
72,C,D,0.5,C,0.2,C,0.3,C,0.1,E,0.1,B,0.2,A,0.2
73,D,B,0.1,A,0.2,D,0.4,A,0.3,E,0.1,B,0.4,B,0.2
74,E,B,0.3,A,0.3,C,0.3,D,0.3,E,0.2,D,0.4,D,0.2
75,B,C,0.2,B,0.3,A,0.1,B,0.3,C,0.2,C,0.2,C,0.1
76,B,G,0.4,B,0.1,C,0.2,G,0.2,E,0.3,F,0.3,E,0.2
77,E,A,0.1,C,0.2,A,0.3,D,0.3,E,0.1,B,0.2,A,0.2
78,E,E,0.3,E,0.2,A,0.4,E,0.1,E,0.1,C,0.2,C,0.1
79,D,B,0.3,A,0.2,A,0.2,B,0.3,E,0.1,B,0.2,B,0.3
80,E,E,0.2,A,0.2,B,0.2,E,0.1,E,0.1,D,0.4,A,0.2
81,A,E,0.4,A,0.4,C,0.2,C,0.3,E,0.1,B,0.3,C,0.2
82,E,B,0.2,A,0.4,E,0.1,E,0.2,F,0.1,C,0.3,F,0.1
83,C,E,0.3,E,0.3,B,0.2,C,0.1,E,0.2,E,0.2,A,0.3
84,E,C,0.2,E,0.4,E,0.1,E,0.1,F,0.1,F,0.2,D,0.2
85,B,D,0.1,A,0.1,A,0.1,B,0.1,E,0.2,E,0.1,E,0.3
86,D,E,0.3,A,0.2,D,0.1,E,0.3,E,0.1,D,0.2,D,0.2
87,D,D,0.2,A,0.3,D,0.2,D,0.1,A,0.2,B,0.1,C,0.1
88,E,E,0.2,C,0.2,D,0.2,E,0.1,B,0.2,C,0.2,C,0.1
89,B,A,0.3,A,0.2,B,0.2,C,0.3,D,0.2,A,0.3,A,0.2
90,F,D,0.2,A,0.2,D,0.2,B,0.2,D,0.1,B,0.3,D,0.2
91,A,C,0.2,E,0.2,B,0.2,B,0.3,E,0.1,D,0.2,E,0.1
92,E,D,0.3,B,0.3,C,0.1,C,0.2,E,0.1,E,0.2,A,0.1
93,A,E,0.1,D,0.1,C,0.1,E,0.1,E,0.1,D,0.2,C,0.1
94,D,A,0.2,E,0.2,A,0.3,E,0.3,A,0.1,B,0.2,C,0.2
