,Phi-3-medium-4k-instruct,Chocolatine-14B-Instruct-DPO-v1.2,Qwen2.5-32B,lambda-qwen2.5-32b-dpo-test,franqwenstein-35b,Yi-1.5-34B-Chat,qwen-carpmuscle-v0.1
0,0.9,1.0,0.6,0.7,0.7,0.6,0.8
1,0.7,0.9,0.6,1.0,1.0,0.5,0.9
2,1.0,0.8,0.8,0.7,1.0,0.5,0.7
3,0.9,0.8,0.7,0.5,0.9,0.6,0.7
4,0.8,0.8,0.7,0.9,1.0,0.9,0.9
5,0.4,0.5,0.8,0.8,0.8,0.8,1.0
6,0.6,0.6,1.0,0.6,1.0,0.6,1.0
7,0.6,0.8,0.5,0.5,0.9,0.9,1.0
8,0.3,0.9,1.0,0.7,1.0,0.4,0.8
9,0.8,0.7,0.6,0.4,1.0,0.3,1.0
10,0.8,0.6,0.6,0.9,0.8,0.4,0.9
11,0.7,1.0,0.6,0.8,0.7,0.5,0.9
12,0.6,0.5,1.0,0.9,1.0,0.8,1.0
13,1.0,0.7,0.7,0.5,1.0,0.5,0.5
14,0.4,0.9,1.0,1.0,1.0,0.9,1.0
15,0.7,0.5,0.7,1.0,1.0,0.7,1.0
16,0.6,0.8,0.6,0.9,1.0,0.8,0.8
17,0.6,0.6,0.8,1.0,1.0,0.9,0.7
18,0.8,1.0,1.0,0.9,1.0,0.8,0.6
19,1.0,0.4,0.8,0.5,1.0,0.4,1.0
20,0.4,0.7,0.6,0.5,0.9,0.5,0.8
21,0.6,0.7,0.7,0.7,1.0,0.6,0.6
22,0.5,0.7,1.0,0.5,1.0,0.9,1.0
23,0.7,1.0,0.9,0.7,1.0,0.6,1.0
24,0.7,0.6,0.9,0.8,0.9,0.6,1.0
25,0.9,0.7,0.9,1.0,1.0,0.7,1.0
26,0.5,1.0,1.0,0.8,1.0,0.6,0.9
27,0.6,0.5,0.9,0.6,0.8,0.5,0.9
28,0.9,1.0,0.7,0.8,1.0,0.7,0.8
29,1.0,0.9,1.0,0.5,1.0,0.7,0.5
30,0.6,0.6,1.0,1.0,1.0,0.4,1.0
31,0.7,0.9,1.0,0.7,1.0,0.3,1.0
32,0.7,0.9,0.7,0.7,1.0,0.5,0.7
33,0.8,0.6,0.9,0.3,0.7,0.5,0.5
34,0.7,0.6,1.0,0.5,1.0,0.9,1.0
35,0.5,0.9,1.0,1.0,1.0,0.9,1.0
36,0.4,0.5,0.6,1.0,0.9,0.5,1.0
37,1.0,0.6,0.6,1.0,1.0,1.0,0.5
38,0.8,0.8,1.0,0.9,1.0,0.9,1.0
39,0.6,0.9,0.9,0.5,1.0,0.6,1.0
40,0.6,0.6,0.9,0.9,1.0,0.9,1.0
41,0.7,1.0,1.0,1.0,1.0,0.8,1.0
42,0.8,0.6,0.8,1.0,1.0,0.5,0.9
43,0.6,0.4,1.0,1.0,1.0,0.7,0.5
44,0.5,0.6,0.9,0.9,1.0,0.8,0.9
45,1.0,0.9,1.0,1.0,0.5,1.0,0.5
46,0.8,0.6,1.0,0.5,1.0,0.6,0.8
47,0.5,0.5,0.6,1.0,1.0,0.6,1.0
48,0.5,0.7,0.9,0.9,1.0,0.7,0.7
49,0.6,0.7,0.6,0.7,1.0,0.7,0.8
50,0.9,0.9,0.5,0.5,0.5,0.7,0.9
51,0.4,0.5,1.0,0.4,1.0,0.8,1.0
52,0.9,0.8,1.0,1.0,1.0,0.6,0.6
53,0.8,0.8,0.9,0.9,1.0,0.6,1.0
54,0.8,0.9,0.7,0.6,1.0,0.6,1.0
55,0.8,0.9,1.0,1.0,1.0,1.0,1.0
56,0.9,0.5,0.7,0.8,0.9,1.0,1.0
57,0.4,0.4,0.9,0.7,0.5,0.5,1.0
58,0.5,0.5,0.5,1.0,0.5,0.5,0.6
59,0.6,1.0,1.0,0.6,1.0,1.0,1.0
60,0.6,0.7,1.0,1.0,1.0,0.6,1.0
61,0.7,1.0,0.9,0.9,1.0,0.5,0.5
62,0.6,0.5,1.0,0.5,1.0,0.5,1.0
63,0.6,0.6,0.5,0.4,1.0,0.8,1.0
64,0.9,0.9,1.0,0.6,0.7,0.6,0.6
65,0.8,0.8,0.8,1.0,1.0,0.3,1.0
66,1.0,0.5,1.0,0.5,1.0,0.6,1.0
67,0.3,0.7,1.0,0.9,1.0,0.8,0.8
68,0.5,1.0,0.8,0.7,1.0,1.0,0.7
69,0.9,0.7,1.0,0.8,1.0,0.5,0.4
70,0.9,1.0,0.9,0.5,1.0,0.6,0.9
71,0.8,0.6,0.6,0.9,1.0,0.9,1.0
72,0.3,0.8,0.7,1.0,1.0,0.9,0.9
73,1.0,0.9,0.7,0.8,1.0,0.5,0.6
74,0.5,0.6,0.7,0.6,0.8,0.5,0.7
75,0.7,0.8,1.0,0.7,0.7,0.9,1.0
76,0.6,1.0,0.9,0.6,0.6,0.8,0.6
77,1.0,0.7,0.5,0.5,1.0,0.7,0.8
78,0.5,0.9,0.3,1.0,1.0,0.9,1.0
79,0.5,0.9,0.7,0.8,1.0,0.8,0.7
80,0.8,0.9,0.9,1.0,1.0,0.6,0.8
81,0.6,0.4,0.7,0.5,1.0,0.4,0.9
82,0.9,0.4,1.0,0.6,1.0,0.5,1.0
83,0.4,0.8,0.5,1.0,0.8,0.5,0.6
84,0.7,0.6,1.0,1.0,1.0,0.8,0.9
85,1.0,1.0,1.0,1.0,0.9,1.0,0.5
86,0.8,0.8,1.0,0.6,1.0,0.9,0.8
87,0.9,0.7,0.7,1.0,0.7,1.0,1.0
88,0.9,0.9,0.9,1.0,0.9,0.5,1.0
89,0.5,0.8,0.9,0.4,0.9,0.7,0.6
90,0.7,0.8,0.9,0.6,1.0,0.4,0.8
91,0.8,0.8,0.9,0.5,1.0,0.9,1.0
92,0.8,0.6,1.0,0.9,1.0,0.9,1.0
93,1.0,1.0,1.0,1.0,1.0,0.9,1.0
94,0.7,0.9,0.4,0.6,1.0,0.8,0.7
